time,temp
2020-05-26 13:13:36.414437,30.3
2020-05-26 13:13:36.615379,34.05
2020-05-26 13:13:36.815537,35.4
2020-05-26 13:13:37.015588,34.57
2020-05-26 13:13:37.215637,28.53
2020-05-26 13:13:37.415686,33.05
2020-05-26 13:13:37.615739,35.39
2020-05-26 13:13:37.815790,28.08
2020-05-26 13:13:38.015839,30.06
2020-05-26 13:13:38.215890,34.38
2020-05-26 13:13:38.415943,29.77
2020-05-26 13:13:38.615990,33.42
2020-05-26 13:13:38.816042,33.28
2020-05-26 13:13:39.016091,33.02
2020-05-26 13:13:39.216142,29.2
2020-05-26 13:13:39.417083,33.33
2020-05-26 13:13:39.617244,29.02
2020-05-26 13:13:39.817295,35.62
2020-05-26 13:13:40.017343,32.3
2020-05-26 13:13:40.217395,32.09
2020-05-26 13:13:40.417447,35.88
2020-05-26 13:13:40.617495,28.06
2020-05-26 13:13:40.818440,33.39
2020-05-26 13:13:41.018492,35.19
2020-05-26 13:13:41.218539,35.64
2020-05-26 13:13:41.418697,34.9
2020-05-26 13:13:41.619748,31.06
2020-05-26 13:13:41.819796,28.95
2020-05-26 13:13:42.019850,35.0
2020-05-26 13:13:42.219901,31.18
2020-05-26 13:13:42.419949,29.71
2020-05-26 13:13:42.620893,28.27
2020-05-26 13:13:42.821052,30.39
2020-05-26 13:13:43.021101,28.94
2020-05-26 13:13:43.221153,30.79
2020-05-26 13:13:43.421204,30.03
2020-05-26 13:13:43.622255,33.21
2020-05-26 13:13:43.822307,34.28
2020-05-26 13:13:44.022356,34.77
2020-05-26 13:13:44.222405,31.72
2020-05-26 13:13:44.422457,34.87
2020-05-26 13:13:44.622508,33.02
2020-05-26 13:13:44.822557,28.67
2020-05-26 13:13:45.022607,33.92
2020-05-26 13:13:45.222659,28.7
2020-05-26 13:13:45.423607,31.67
2020-05-26 13:13:45.623655,34.08
2020-05-26 13:13:45.823813,29.51
2020-05-26 13:13:46.023858,31.16
2020-05-26 13:13:46.223909,32.99
2020-05-26 13:13:46.423961,32.97
2020-05-26 13:13:46.624009,32.91
2020-05-26 13:13:46.824061,31.04
2020-05-26 13:13:47.024113,35.35
2020-05-26 13:13:47.224160,34.73
2020-05-26 13:13:47.424211,34.44
2020-05-26 13:13:47.624263,31.43
2020-05-26 13:13:47.824313,33.55
2020-05-26 13:13:48.024364,35.25
2020-05-26 13:13:48.224418,35.62
2020-05-26 13:13:48.424464,33.38
2020-05-26 13:13:48.624516,29.95
2020-05-26 13:13:48.824566,35.23
2020-05-26 13:13:49.024615,33.77
2020-05-26 13:13:49.224666,32.58
2020-05-26 13:13:49.425611,35.83
2020-05-26 13:13:49.625769,31.27
2020-05-26 13:13:49.826713,32.31
2020-05-26 13:13:50.026765,33.64
2020-05-26 13:13:50.226920,29.35
2020-05-26 13:13:50.426969,32.75
2020-05-26 13:13:50.627019,35.81
2020-05-26 13:13:50.827071,34.33
2020-05-26 13:13:51.027120,30.01
2020-05-26 13:13:51.227171,32.31
2020-05-26 13:13:51.427223,33.98
2020-05-26 13:13:51.627272,35.2
2020-05-26 13:13:51.827323,28.21
2020-05-26 13:13:52.027373,30.09
2020-05-26 13:13:52.227421,29.16
2020-05-26 13:13:52.427474,30.45
